partial data for cat2.dat, single appearance or disappeared
     ID     q		e     omega	 Omega     i
D/1917 F1   0.190186  0.993121 121.3190   88.6683   32.6828
C/1917 H1   0.764184  1.0      119.1607   10.8350  158.7379
C/1918 L1   1.101641  1.0      194.9062   18.8382   69.7093
D/1918 W1   1.883784  0.468582 279.2968  118.9506    5.5752
C/1919 Q2   1.115291  1.000222 185.7533  122.0975   46.3823
C/1919 Y1   0.29769   1.0      276.576   316.713   123.175
C/1920 X1   1.147892  0.994081 340.8876  108.8324   22.0303
C/1921 E1   1.008457  1.000357  64.4901  269.4395  132.1876
D/1921 H1   1.114978  0.929088  97.4488   67.2065   22.3265
C/1922 B1   1.629083  0.986968 183.6812  275.5991   32.4456
C/1922 U1   2.258774  1.000755 118.2980  221.5784   51.4565
C/1922 W1   0.923590  0.993735 264.4827  263.0567   23.3659
C/1923 T1   0.777832  1.0      255.3244  227.7378  113.7920
C/1924 F1   1.755695  0.998598 271.4401  115.0738   72.3273
C/1924 R1   0.405993  1.0       66.5394   81.1240  120.1495
C/1925 F1   4.180785  1.002432 205.7601  358.5393  146.7131
C/1925 F2   1.633299  0.995116 259.2776    7.0401   26.9797
C/1925 G1   1.109477  1.000605  36.1814  319.1096  100.0224
C/1925 V1   0.763569  1.000505 126.1298  141.7818  144.5980
C/1925 W1   1.566243  1.000382 106.3992  335.6130   49.3307
C/1925 X1   0.322588  1.0      354.8856  283.4568  123.0003
C/1926 B1   1.345477  0.992384 328.2585  137.1264  128.2986
C/1927 A1   1.03557   1.0      231.851    19.815    92.363
C/1927 B1   0.751640  1.0      224.4377  109.6946   83.6631
C/1927 E1   3.683902  0.998179  11.1365  215.6504   87.6525
C/1927 X1   0.176157  0.999840  47.1588   78.2436   85.1126
C/1929 Y1   0.672235  0.999028 157.4943  179.9721  124.5103
C/1930 D1   1.087114  0.998131 325.0835  148.5325   99.8830
C/1930 E1   2.078632  1.000524  24.6270  117.3671   71.9693
C/1930 F1   0.481810  0.992194  46.9599   91.2366   67.1409
C/1930 L1   1.152800  1.0      320.9657  279.2646   97.0912
C/1931 AN   0.90194   1.0      198.570     2.305     6.638
C/1931 O1   1.046903  0.979203 320.1467  192.2401   42.2957
C/1931 P1   0.074924  0.999326 168.1455  102.2776  169.2881
C/1932 G1   1.254431  0.972127 303.5157  213.4835   74.2776
C/1932 H1   2.330615  1.0      110.3054   18.7965   58.0633
C/1932 M1   1.647412  1.000602  69.7870  246.0897   78.3894
C/1932 M2   2.313581  1.001431 329.6944  216.0937  124.9886
C/1932 P1   1.037198  0.976369  38.4713  345.4620   71.7195
C/1932 Y1   1.130788  0.972386 327.3619   78.5878   24.5025
C/1933 D1   1.000691  1.0      135.9874  312.4663   86.6786
C/1935 A1   0.811148  0.991304  18.3969   92.4472   65.4251
C/1935 M1   3.485700  1.0      124.3132   74.2111  141.9494
C/1935 Q1   4.043409  1.002045  44.8957  300.5614   66.1122
C/1936 K1   1.099868  0.991775 148.4754  134.9408   78.5447
C/1936 O1   0.518403  0.994389  45.8496  265.0062  121.9417
C/1937 C1   1.733791  1.000137 107.7345  128.6082   41.5515
D/1937 D1   0.618937  0.981098  31.4751   58.2580   26.0205
C/1937 N1   0.862744  0.999985 114.8366   59.4207  146.4156
C/1937 P1   1.953657  0.972499 147.4924   97.7957   11.5806
