C/1954 M2   2A   0.746   88.5  +0.000036  -0.000233  +0.000059
C/1954 O1   2A   0.677  116.2  +0.000049  -0.000422  -0.000217
C/1954 O2   1A   3.870  100.4  +0.000042  -0.000132  +0.000252
C/1954 Y1   1A   4.077   79.6  +0.000039  -0.001145  -0.000228
C/1955 G1   1A   4.496  123.9  +0.000082  -0.000621  -0.000021
C/1955 L1   2A   0.534   86.5  +0.020013  +0.019907  +0.020872
C/1955 N1   2A   1.427   50.0  +0.004353  +0.004086  +0.004254
C/1955 O1   2A   0.885  107.5  -0.000727  -0.001071  -0.000432
C/1956 F1-A 1A   4.447   33.2  +0.000017  -0.000617  +0.000148
C/1957 P1   1B   0.355   93.9  +0.002001  +0.001789  +0.003082
C/1958 D1   1B   1.323   15.8  +0.000256  +0.000043  +0.001798
C/1958 R1   1A   1.628   61.3  +0.000076  +0.000082  +0.000244
C/1959 O1   2B   1.251   12.8  -0.000446  -0.002142  -0.001956
C/1959 Q1   2A   1.150   48.3  +0.000593  -0.000799  -0.000476
C/1959 X1   1B   1.253   19.6  +0.000069  +0.000201  +0.002575
C/1960 M1   1B   4.267  125.5  +0.000040  -0.000207  -0.000002
C/1960 Y1   2A   1.062  151.0  +0.010480  +0.009514  +0.009640
C/1961 O1   2B   0.040   24.2  +0.000792  +0.000940  +0.002254
C/1961 R1   1A   2.133  153.3  +0.004935  +0.004889  +0.005403
C/1961 T1   2A   0.681  155.7  +0.013656  +0.012021  +0.012651
C/1962 C1   1B   0.031   65.0  +0.000025  -0.000105  +0.000352
C/1963 A1   1A   0.632  160.6  +0.011389  +0.010477  +0.010492
C/1963 F1   2A   1.537   86.2  +0.001281  +0.001262  +0.001725
C/1963 R1   2A   0.005  144.6  +0.010697  +0.010705  +0.011722
C/1964 L1   1B   0.500  161.8  +0.008131  +0.008128  +0.009517
C/1964 N1   2B   0.822  171.9  +0.018662  +0.018688  +0.019224
C/1964 P1   1B   1.259   68.0  +0.002721  +0.002769  +0.003641
C/1965 S1-A 1B   0.008  141.9  +0.011128  +0.010891  +0.011613
C/1966 P1   2A   2.385   40.3  +0.000078  +0.000262  +0.000591
C/1966 P2   2A   2.019   28.7  +0.000643  +0.000900  +0.001358
C/1966 T1   2A   0.419    9.1  +0.000049  -0.000932  -0.000889
C/1967 Y1   1A   1.697  129.3  +0.000842  +0.000500  +0.000704
C/1968 N1   2A   1.160  143.2  -0.000082  -0.000573  +0.000260
C/1968 Y1   2A   3.316   45.2  +0.001502  +0.001417  +0.001601
C/1969 O1-A 1A   1.719   86.3  +0.000555  +0.000509  +0.000896
C/1969 T1   1B   0.473   75.8  +0.000507  +0.000170  +0.000431
C/1970 N1   1A   1.113  126.7  +0.000283  -0.000043  +0.000215
C/1972 E1   2B   0.927  123.7  +0.002297  +0.002022  +0.002252
C/1972 F1   2A   3.277  175.6  +0.001582  +0.000933  +0.001311
C/1972 L1   1A   4.276   79.4  +0.000069  -0.001471  -0.000603
C/1972 U1   1A   2.147  141.9  +0.000320  -0.000474  -0.000028
C/1972 X1   1A   4.861  113.1  +0.000476  +0.000019  +0.000356
C/1973 A1   1A   2.511  138.6  +0.000049  -0.000200  +0.000362
C/1973 D1   1B   1.382  121.6  +0.001541  +0.000924  +0.002090
C/1973 E1   1A   0.142   14.3  +0.000020  -0.000055  +0.000545
C/1973 H1   2B   2.384   48.3  +0.010888  +0.011334  +0.011745
C/1973 N1   1A   4.812  137.4  +0.000531  -0.000012  +0.000508
C/1973 W1   1B   3.842  108.1  +0.000071  -0.000167  -0.000109
C/1974 F1   1A   3.011   50.6  +0.000036  +0.000132  +0.000517
C/1974 O1   2B   1.373  173.2  +0.015097  +0.014874  +0.015117
C/1974 V1   1A   6.019   60.9  +0.000011  -0.000656  +0.000569
C/1975 E1   1B   1.217   55.2  +0.000023  -0.001158  -0.000841
C/1975 N1   1A   0.426   80.8  +0.000817  -0.000228  +0.000126
C/1975 T1   1B   1.604   91.6  +0.001964  +0.001590  +0.001545
C/1975 T2   2B   0.838  118.2  +0.017578  +0.017119  +0.017420
C/1975 V1-A 1A   0.197   43.1  +0.001569  +0.000146  +0.000029
C/1975 V2   2A   0.219   70.6  -0.000056  -0.000007  +0.001218
C/1975 X1   2B   0.864   94.0  -0.000734  -0.001405  -0.001461
C/1976 D1   2A   0.848   46.8  +0.010036  +0.007301  +0.007243
C/1976 D2   1A   6.881  112.0  +0.000059  -0.000305  +0.000056
C/1976 J1   2A   1.569   38.8  +0.000045  +0.000194  +0.000570
C/1976 U1   1B   5.857   86.6  +0.000037  -0.000671  +0.000189
C/1977 D1   1B   5.715   64.5  +0.000142  -0.000613  +0.000097
C/1977 R1   1B   0.991   48.7  +0.000231  +0.000458  +0.001312
C/1977 V1   1B   3.603  168.5  +0.000251  +0.000102  +0.000490
C/1978 A1   1A   5.606  116.9  +0.000033  -0.000529  -0.000102
C/1978 G2   1B   6.283  153.2  -0.000023  -0.000340  -0.000099
C/1978 H1   1A   1.137   43.8  +0.000024  -0.000748  -0.001028
C/1978 R3   1B   1.772  130.6  +0.000015  -0.000235  +0.000232
C/1978 T1   2B   0.370   67.8  +0.005245  +0.004377  +0.004309
C/1979 M1   2A   0.413  136.2  +0.000033  -0.000142  +0.000126
C/1979 M3   1A   4.687   92.2  +0.000042  -0.000226  -0.000145
C/1979 S1   2A   1.432   67.1  +0.018580  +0.018716  +0.019287
C/1979 Y1   2B   0.545  148.6  +0.023272  +0.022749  +0.022752
C/1980 E1   1A   3.364    1.7  +0.000027  -0.017040  -0.016015
C/1980 L1   2A   2.584   73.2  +0.000757  -0.000064  -0.000030
C/1980 R1   2A   2.112  128.7  -0.000026  -0.000815  -0.000375
