   .162D+01     .0879  336.0805    2.0243    3.4334
   .163D+01     .0879  335.8479   14.7704  313.7536
   .164D+01     .0883  335.5035    4.2461  104.5965
   .164D+01     .0892  335.0165    2.9099   93.5906
   .165D+01     .0908  334.3524    2.5644   89.0013
   .165D+01     .0934  333.4753    2.4172   87.0414
   .166D+01     .0973  332.3516    2.3408   86.3775
   .166D+01     .1031  330.9568    2.2977   86.4401
   .167D+01     .1117  329.2838    2.2732   86.9459
   .167D+01     .1244  327.3522    2.2603   87.7369
   .168D+01     .1432  325.2148    2.2555   88.7166
   .168D+01     .1717  322.9577    2.2568   89.8218
   .169D+01     .2167  320.6905    2.2629   91.0084
   .169D+01     .2919  318.5289    2.2730   92.2445
   .170D+01     .4309  316.5751    2.2867   93.5059
   .170D+01     .7407  314.9015    2.3036   94.7741
   .171D+01    1.8357  313.5458    2.3234   96.0347
   .171D+01   11.9423  132.5130    2.3460   97.2765
   .172D+01    1.8553  131.7842    2.3712   98.4908
   .172D+01    1.1981  131.3261    2.3989   99.6710
   .173D+01    1.0106  131.0992    2.4289  100.8122
   .173D+01     .9765  131.0635    2.4613  101.9110
   .174D+01    1.0440  131.1825    2.4960  102.9654
   .174D+01    1.2366  131.4241    2.5329  103.9742
   .175D+01    1.6893  131.7615    2.5721  104.9372
   .175D+01    3.1194  132.1731    2.6134  105.8548
   .176D+01  193.6676  132.6414    2.6570  106.7281
   .176D+01    2.8933  313.1529    2.7028  107.5585
   .177D+01    1.3797  313.6970    2.7509  108.3477
   .177D+01     .8875  314.2655    2.8015  109.0979
   .178D+01     .6464  314.8521    2.8545  109.8111
   .178D+01     .5045  315.4522    2.9102  110.4897
   .179D+01     .4117  316.0620    2.9687  111.1361
   .179D+01     .3466  316.6790    3.0302  111.7524
   .180D+01     .2986  317.3009    3.0950  112.3412
   .180D+01     .2619  317.9263    3.1632  112.9046
   .180D+01     .2330  318.5540    3.2353  113.4448
   .181D+01     .2096  319.1830    3.3116  113.9641
   .181D+01     .1905  319.8126    3.3925  114.4643
   .182D+01     .1745  320.4423    3.4784  114.9475
   .182D+01     .1609  321.0716    3.5701  115.4155
   .183D+01     .1493  321.7002    3.6682  115.8701
   .183D+01     .1393  322.3277    3.7733  116.3130
   .184D+01     .1305  322.9538    3.8866  116.7458
   .184D+01     .1228  323.5782    4.0089  117.1699
   .185D+01     .1160  324.2008    4.1417  117.5868
   .185D+01     .1100  324.8213    4.2863  117.9980
   .186D+01     .1045  325.4395    4.4447  118.4046
   .186D+01     .0996  326.0550    4.6191  118.8080
   .187D+01     .0952  326.6678    4.8121  119.2094
   .188D+01     .0912  327.2775    5.0271  119.6098
   .188D+01     .0876  327.8840    5.2683  120.0105
   .189D+01     .0842  328.4870    5.5410  120.4126
   .189D+01     .0812  329.0862    5.8520  120.8170
   .190D+01     .0783  329.6816    6.2102  121.2248
   .190D+01     .0757  330.2729    6.6275  121.6371
   .191D+01     .0734  330.8598    7.1201  122.0549
   .191D+01     .0711  331.4422    7.7108  122.4792
   .192D+01     .0691  332.0198    8.4324  122.9111
   .192D+01     .0672  332.5925    9.3344  123.3515
   .193D+01     .0654  333.1602   10.4944  123.8015
   .193D+01     .0637  333.7226   12.0424  124.2623
   .194D+01     .0622  334.2795   14.2127  124.7348
   .194D+01     .0607  334.8309   17.4760  125.2202
   .195D+01     .0593  335.3766   22.9370  125.7198
   .195D+01     .0581  335.9165   33.9458  126.2347
   .196D+01     .0569  336.4504   67.6919  126.7662
   .196D+01     .0557  336.9783 2026.4724  307.3156
   .197D+01     .0547  337.5000   61.0659  307.8844
   .197D+01     .0537  338.0154   30.3841  308.4740
   .198D+01     .0527  338.5246   19.9432  309.0860
   .198D+01     .0518  339.0273   14.6822  309.7220
   .199D+01     .0510  339.5237   11.5128  310.3839
   .199D+01     .0502  340.0136    9.3949  311.0735
   .200D+01     .0494  340.4969    7.8799  311.7928
   .200D+01     .0487  340.9737    6.7428  312.5440
   .200D+01     .0480  341.4440    5.8582  313.3293
   .201D+01     .0474  341.9077    5.1506  314.1512
   .202D+01     .0467  342.3649    4.5719  315.0124
   .202D+01     .0462  342.8155    4.0902  315.9156
   .202D+01     .0456  343.2596    3.6831  316.8639
   .203D+01     .0451  343.6971    3.3349  317.8605
   .204D+01     .0446  344.1282    3.0338  318.9087
   .204D+01     .0441  344.5528    2.7711  320.0124
   .204D+01     .0436  344.9709    2.5401  321.1753
   .205D+01     .0432  345.3827    2.3357  322.4017
   .206D+01     .0428  345.7882    2.1537  323.6958
   .206D+01     .0424  346.1874    1.9909  325.0624
   .206D+01     .0420  346.5804    1.8446  326.5061
   .207D+01     .0417  346.9672    1.7128  328.0319
   .208D+01     .0413  347.3479    1.5935  329.6449
   .208D+01     .0410  347.7226    1.4854  331.3501
   .208D+01     .0407  348.0914    1.3872  333.1527
   .209D+01     .0404  348.4542    1.2979  335.0575
   .210D+01     .0401  348.8112    1.2166  337.0691
   .210D+01     .0398  349.1625    1.1426  339.1913
   .210D+01     .0395  349.5082    1.0752  341.4275
   .211D+01     .0393  349.8482    1.0140  343.7799
   .212D+01     .0390  350.1828     .9585  346.2492
   .212D+01     .0388  350.5119     .9082  348.8348
   .212D+01     .0386  350.8356     .8628  351.5338
   .213D+01     .0384  351.1541     .8220  354.3412
